director@iitrpr.ac.in,1234,Director
overall.dept.head@iitrpr.ac.in,1234,Overall_edu_dept_head
hod.cse@iitrpr.ac.in,1234,HOD
hod.ee@iitrpr.ac.in,1234,HOD
hod.me@iitrpr.ac.in,1234,HOD
hod.cse.ai@iitrpr.ac.in,1234,Sub_dept_head
hod.cse.net@iitrpr.ac.in,1234,Sub_dept_head
hod.cse.sw@iitrpr.ac.in,1234,Sub_dept_head
hod.ee.hv@iitrpr.ac.in,1234,Sub_dept_head
hod.ee.digital@iitrpr.ac.in,1234,Sub_dept_head
hod.ee.analog@iitrpr.ac.in,1234,Sub_dept_head
hod.me.sd@iitrpr.ac.in,1234,Sub_dept_head
ckn@iitrpr.ac.in,1234,Faculty
depti@iitrpr.ac.in,1234,Faculty
sujata@iitrpr.ac.in,1234,Faculty
avni@iitrpr.ac.in,1234,Faculty
sodhi@iitrpr.ac.in,1234,Faculty
ranjana@iitrpr.ac.in,1234,Faculty
rohit@iitrpr.ac.in,1234,Faculty
murala@iitrpr.ac.in,1234,Faculty
ansu@iitrpr.ac.in,1234,Faculty
sattu@iitrpr.ac.in,1234,Faculty
